ID,지역코드,기간코드,인허가일자,지번주소
398,111123,17,20070306,서울특별시 종로구 평창동 66-50번지 동화킴스관광호텔 지하1층
399,111123,17,20070125,서울특별시 종로구 청진동 183-1번지 지하1층
400,111123,17,20070123,서울특별시 종로구 당주동 18번지 지상3층
401,111281,17,19781028,서울특별시 금천구 독산동 293-5
402,111123,17,20060426,서울특별시 종로구 숭인동 200-33번지 지하1층
403,111123,17,20060410,서울특별시 종로구 종로5가 20-1번지 지하1층
404,111123,17,20100730,서울특별시 종로구 종로5가 38-1번지 지상1층
405,111123,17,19720405,서울특별시 종로구 창신동 293-5번지
406,111123,17,19670113,서울특별시 종로구 관철동 32-4번지 지하 1층(관철동 32-47)
407,111123,17,20051223,서울특별시 종로구 원남동 177-1번지 지하층
408,111123,17,20051005,서울특별시 종로구 종로5가 244번지 지상2층
